Field of View,Cell ID,X,Y,Region,louvain,celltype,cellname,grid,spot
1,64,493.17,1132.6,Cortex,19,Astrocytes,1_64,3_6,26
5,236,512.39,1143.3,SVZ,11,Excitatory neuron,5_236,3_6,26
4,35,514.98,1070.0,Cortex,11,Excitatory neuron,4_35,3_6,26
4,40,548.96,1178.0,Cortex,2,Endothelial,4_40,3_6,26
5,203,526.26,1017.0,SVZ,12,Excitatory neuron,5_203,3_6,26
5,204,576.41,1018.5,SVZ,24,Interneuron,5_204,3_6,26
5,24,566.2,1106.4,SVZ,14,Astrocytes,5_24,3_6,26
5,21,535.3,1057.4,SVZ,8,Astrocytes,5_21,3_6,26
0,27,560.36,1123.7,Cortex,6,Excitatory neuron,0_27,3_6,26
5,29,558.61,1164.3,SVZ,12,Excitatory neuron,5_29,3_6,26
0,32,624.11,1246.1,Cortex,3,Excitatory neuron,0_32,3_7,27
5,263,628.89,1311.4,SVZ,25,Oligodendrocytes,5_263,3_7,27
5,255,633.35,1243.5,SVZ,14,Astrocytes,5_255,3_7,27
3,70,536.66,1276.8,Cortex,4,Excitatory neuron,3_70,3_7,27
6,76,653.02,1243.2,Choroid Plexus,2,Endothelial,6_76,3_7,27
5,261,543.26,1297.4,SVZ,14,Astrocytes,5_261,3_7,27
5,36,520.72,1211.9,SVZ,8,Astrocytes,5_36,3_7,27
1,81,561.77,1325.4,Cortex,7,Interneuron,1_81,3_7,27
2,29,529.72,1280.6,Cortex,18,Excitatory neuron,2_29,3_7,27
4,44,590.47,1230.9,Cortex,4,Excitatory neuron,4_44,3_7,27
6,78,583.82,1286.5,Choroid Plexus,2,Endothelial,6_78,3_7,27
4,47,650.71,1274.1,Cortex,4,Excitatory neuron,4_47,3_7,27
5,37,581.5,1208.7,SVZ,14,Astrocytes,5_37,3_7,27
6,77,504.95,1256.1,Choroid Plexus,1,Endothelial,6_77,3_7,27
4,80,639.03,1320.0,Cortex,12,Excitatory neuron,4_80,3_7,27
1,85,514.6,1405.4,Cortex,9,Excitatory neuron,1_85,3_8,28
5,108,616.16,1504.9,SVZ,15,Interneuron,5_108,3_8,28
4,52,611.71,1394.1,Cortex,4,Excitatory neuron,4_52,3_8,28
2,81,602.98,1502.4,Cortex,13,Excitatory neuron,2_81,3_8,28
4,58,566.57,1489.8,Cortex,6,Excitatory neuron,4_58,3_8,28
1,88,590.72,1450.9,Cortex,2,Endothelial,1_88,3_8,28
5,110,508.45,1554.9,SVZ,15,Interneuron,5_110,3_9,29
6,83,605.14,1593.9,Choroid Plexus,2,Endothelial,6_83,3_9,29
6,85,490.23,1708.8,Choroid Plexus,1,Endothelial,6_85,3_9,29
5,279,598.46,1668.9,SVZ,16,Oligodendrocytes,5_279,3_9,29
1,101,653.89,1619.9,Cortex,13,Excitatory neuron,1_101,3_9,29
1,99,531.71,1597.7,Cortex,13,Excitatory neuron,1_99,3_9,29
2,85,644.44,1678.4,Cortex,8,Astrocytes,2_85,3_9,29
3,86,592.77,1558.2,Cortex,4,Excitatory neuron,3_86,3_9,29
5,111,583.78,1594.1,SVZ,14,Astrocytes,5_111,3_9,29
4,86,650.84,1561.3,Cortex,5,Excitatory neuron,4_86,3_9,29
2,84,496.92,1581.6,Cortex,23,Interneuron,2_84,3_9,29
3,97,538.71,1731.2,Cortex,4,Excitatory neuron,3_97,3_10,30
4,97,639.25,1774.4,Cortex,4,Excitatory neuron,4_97,3_10,30
2,87,546.78,1820.3,Cortex,18,Excitatory neuron,2_87,3_10,30
4,3,828.07,300.14,Cortex,16,Oligodendrocytes,4_3,4_1,31
2,2,794.27,292.92,Cortex,9,Excitatory neuron,2_2,4_1,31
3,1,734.12,173.2,Cortex,11,Excitatory neuron,3_1,4_1,31
3,5,723.27,295.67,Cortex,5,Excitatory neuron,3_5,4_1,31
2,57,707.72,154.95,Cortex,10,Astrocytes,2_57,4_1,31
0,60,799.96,389.1,Cortex,7,Interneuron,0_60,4_2,32
4,6,787.84,407.41,Cortex,25,Oligodendrocytes,4_6,4_2,32
5,66,782.55,463.51,SVZ,10,Astrocytes,5_66,4_2,32
3,9,701.05,402.96,Cortex,5,Excitatory neuron,3_9,4_2,32
5,60,682.44,324.7,SVZ,10,Astrocytes,5_60,4_2,32
1,4,681.3,453.14,Cortex,9,Excitatory neuron,1_4,4_2,32
2,64,703.15,435.75,Cortex,20,Microglia,2_64,4_2,32
0,2,669.51,457.53,Cortex,3,Excitatory neuron,0_2,4_2,32
3,18,726.66,605.62,Cortex,20,Microglia,3_18,4_3,33
6,41,786.31,625.34,Choroid Plexus,1,Endothelial,6_41,4_3,33
2,10,713.46,648.61,Cortex,18,Excitatory neuron,2_10,4_3,33
5,73,789.24,564.4,SVZ,7,Interneuron,5_73,4_3,33
0,5,763.87,569.15,Cortex,6,Excitatory neuron,0_5,4_3,33
0,4,710.24,533.06,Cortex,7,Interneuron,0_4,4_3,33
5,71,671.41,543.44,SVZ,2,Endothelial,5_71,4_3,33
1,5,773.77,559.19,Cortex,9,Excitatory neuron,1_5,4_3,33
6,1,689.58,596.01,Choroid Plexus,1,Endothelial,6_1,4_3,33
4,71,806.82,595.74,Cortex,11,Excitatory neuron,4_71,4_3,33
5,79,769.97,645.73,SVZ,7,Interneuron,5_79,4_3,33
1,7,682.46,625.45,Cortex,19,Astrocytes,1_7,4_3,33
3,27,716.81,720.39,Cortex,26,Unannotated,3_27,4_4,34
0,9,806.56,828.27,Cortex,3,Excitatory neuron,0_9,4_4,34
2,71,713.42,822.36,Cortex,2,Endothelial,2_71,4_4,34
1,11,667.59,797.63,Cortex,9,Excitatory neuron,1_11,4_4,34
6,95,836.96,784.33,Choroid Plexus,1,Endothelial,6_95,4_4,34
0,95,739.38,818.87,Cortex,9,Excitatory neuron,0_95,4_4,34
5,5,664.49,777.48,SVZ,15,Interneuron,5_5,4_4,34
0,92,781.88,748.95,Cortex,6,Excitatory neuron,0_92,4_4,34
0,89,699.92,689.47,Cortex,3,Excitatory neuron,0_89,4_4,34
1,10,837.63,711.08,Cortex,13,Excitatory neuron,1_10,4_4,34
5,4,838.26,765.0,SVZ,15,Interneuron,5_4,4_4,34
5,87,769.09,804.48,SVZ,15,Interneuron,5_87,4_4,34
4,29,756.22,931.75,Cortex,20,Microglia,4_29,4_5,35
2,72,756.36,882.69,Cortex,10,Astrocytes,2_72,4_5,35
5,187,743.39,947.68,SVZ,12,Excitatory neuron,5_187,4_5,35
3,44,775.74,912.61,Cortex,5,Excitatory neuron,3_44,4_5,35
0,102,745.68,922.15,Cortex,3,Excitatory neuron,0_102,4_5,35
5,167,747.81,861.49,SVZ,12,Excitatory neuron,5_167,4_5,35
5,94,813.56,960.42,SVZ,8,Astrocytes,5_94,4_5,35
6,99,660.76,935.14,Choroid Plexus,2,Endothelial,6_99,4_5,35
5,191,684.86,964.57,SVZ,17,Excitatory neuron,5_191,4_5,35
5,164,691.21,846.47,SVZ,17,Excitatory neuron,5_164,4_5,35
3,40,699.51,869.09,Cortex,5,Excitatory neuron,3_40,4_5,35
6,98,837.08,922.4,Choroid Plexus,26,Unannotated,6_98,4_5,35
1,13,830.55,838.28,Cortex,19,Astrocytes,1_13,4_5,35
0,104,799.79,982.66,Cortex,3,Excitatory neuron,0_104,4_5,35
5,174,765.03,900.44,SVZ,21,Excitatory neuron,5_174,4_5,35
5,177,707.7,908.0,SVZ,12,Excitatory neuron,5_177,4_5,35
5,171,671.17,881.72,SVZ,17,Excitatory neuron,5_171,4_5,35
5,281,817.56,1008.9,SVZ,15,Interneuron,5_281,4_5,35
1,14,822.66,928.82,Cortex,9,Excitatory neuron,1_14,4_5,35
0,26,822.23,1124.2,Cortex,7,Interneuron,0_26,4_6,36
0,30,668.36,1165.0,Cortex,6,Excitatory neuron,0_30,4_6,36
5,240,820.82,1169.6,SVZ,8,Astrocytes,5_240,4_6,36
5,235,777.81,1142.8,SVZ,12,Excitatory neuron,5_235,4_6,36
6,11,844.06,1085.6,Choroid Plexus,1,Endothelial,6_11,4_6,36
6,103,809.31,1176.0,Choroid Plexus,1,Endothelial,6_103,4_6,36
5,226,676.38,1101.0,SVZ,15,Interneuron,5_226,4_6,36
5,232,725.92,1139.5,SVZ,17,Excitatory neuron,5_232,4_6,36
5,31,673.82,1178.8,SVZ,24,Interneuron,5_31,4_6,36
5,22,701.94,1068.0,SVZ,24,Interneuron,5_22,4_6,36
6,102,759.1,1081.7,Choroid Plexus,1,Endothelial,6_102,4_6,36
2,24,752.18,1060.3,Cortex,18,Excitatory neuron,2_24,4_6,36
4,39,723.69,1137.1,Cortex,2,Endothelial,4_39,4_6,36
3,65,748.67,1163.3,Cortex,5,Excitatory neuron,3_65,4_6,36
6,9,687.62,1042.3,Choroid Plexus,1,Endothelial,6_9,4_6,36
0,28,742.3,1134.5,Cortex,6,Excitatory neuron,0_28,4_6,36
5,267,701.92,1334.7,SVZ,11,Excitatory neuron,5_267,4_7,37
5,100,828.06,1228.6,SVZ,17,Excitatory neuron,5_100,4_7,37
4,46,704.43,1265.8,Cortex,4,Excitatory neuron,4_46,4_7,37
5,42,821.13,1311.9,SVZ,17,Excitatory neuron,5_42,4_7,37
5,34,706.85,1199.7,SVZ,17,Excitatory neuron,5_34,4_7,37
5,104,735.77,1285.3,SVZ,14,Astrocytes,5_104,4_7,37
0,115,796.06,1271.3,Cortex,3,Excitatory neuron,0_115,4_7,37
2,31,800.37,1293.8,Cortex,10,Astrocytes,2_31,4_7,37
4,51,748.14,1349.5,Cortex,20,Microglia,4_51,4_7,37
5,248,763.6,1211.0,SVZ,14,Astrocytes,5_248,4_7,37
3,72,784.88,1319.8,Cortex,11,Excitatory neuron,3_72,4_7,37
5,262,781.33,1307.9,SVZ,17,Excitatory neuron,5_262,4_7,37
2,28,761.15,1230.4,Cortex,19,Astrocytes,2_28,4_7,37
1,89,743.94,1449.9,Cortex,9,Excitatory neuron,1_89,4_8,38
6,22,739.29,1463.2,Choroid Plexus,1,Endothelial,6_22,4_8,38
2,80,695.89,1485.6,Cortex,16,Oligodendrocytes,2_80,4_8,38
3,76,808.9,1434.0,Cortex,5,Excitatory neuron,3_76,4_8,38
5,46,729.27,1374.3,SVZ,16,Oligodendrocytes,5_46,4_8,38
5,47,832.75,1377.3,SVZ,16,Oligodendrocytes,5_47,4_8,38
3,83,762.65,1521.3,Cortex,2,Endothelial,3_83,4_8,38
5,113,684.74,1666.0,SVZ,25,Oligodendrocytes,5_113,4_9,39
1,103,751.4,1634.2,Cortex,2,Endothelial,1_103,4_9,39
5,112,678.82,1605.7,SVZ,16,Oligodendrocytes,5_112,4_9,39
1,96,743.17,1548.5,Cortex,6,Excitatory neuron,1_96,4_9,39
0,45,782.61,1687.7,Cortex,10,Astrocytes,0_45,4_9,39
4,89,767.46,1663.4,Cortex,5,Excitatory neuron,4_89,4_9,39
0,44,669.71,1629.6,Cortex,2,Endothelial,0_44,4_9,39
6,26,788.33,1560.0,Choroid Plexus,1,Endothelial,6_26,4_9,39
4,85,759.11,1549.9,Cortex,25,Oligodendrocytes,4_85,4_9,39
3,94,843.53,1672.9,Cortex,16,Oligodendrocytes,3_94,4_9,39
5,116,768.28,1763.1,SVZ,16,Oligodendrocytes,5_116,4_10,40
4,1,1008.4,250.45,Cortex,16,Oligodendrocytes,4_1,5_1,41
0,51,855.84,122.03,Cortex,10,Astrocytes,0_51,5_1,41
1,21,911.59,281.52,Cortex,13,Excitatory neuron,1_21,5_1,41
0,55,981.25,261.05,Cortex,3,Excitatory neuron,0_55,5_1,41
3,6,863.07,291.82,Cortex,4,Excitatory neuron,3_6,5_1,41
0,59,980.24,382.43,Cortex,3,Excitatory neuron,0_59,5_2,42
4,65,937.71,418.1,Cortex,10,Astrocytes,4_65,5_2,42
3,12,995.24,439.72,Cortex,2,Endothelial,3_12,5_2,42
5,62,917.27,355.88,SVZ,2,Endothelial,5_62,5_2,42
2,3,892.49,333.43,Cortex,13,Excitatory neuron,2_3,5_2,42
4,64,874.41,380.91,Cortex,25,Oligodendrocytes,4_64,5_2,42
3,10,854.93,417.8,Cortex,10,Astrocytes,3_10,5_2,42
2,6,864.35,553.63,Cortex,12,Excitatory neuron,2_6,5_3,43
6,40,906.0,627.83,Choroid Plexus,1,Endothelial,6_40,5_3,43
5,76,956.77,611.15,SVZ,7,Interneuron,5_76,5_3,43
3,20,877.47,601.13,Cortex,10,Astrocytes,3_20,5_3,43
1,6,861.26,580.49,Cortex,25,Oligodendrocytes,1_6,5_3,43
4,10,856.5,483.83,Cortex,25,Oligodendrocytes,4_10,5_3,43
5,82,1009.1,729.56,SVZ,17,Excitatory neuron,5_82,5_4,44
4,21,912.72,702.49,Cortex,2,Endothelial,4_21,5_4,44
5,160,926.48,815.14,SVZ,2,Endothelial,5_160,5_4,44
3,26,856.05,704.98,Cortex,4,Excitatory neuron,3_26,5_4,44
6,45,906.68,715.8,Choroid Plexus,1,Endothelial,6_45,5_4,44
5,154,943.41,772.13,SVZ,2,Endothelial,5_154,5_4,44
6,96,1013.1,767.09,Choroid Plexus,1,Endothelial,6_96,5_4,44
0,7,957.71,755.66,Cortex,3,Excitatory neuron,0_7,5_4,44
5,159,1020.0,804.7,SVZ,12,Excitatory neuron,5_159,5_4,44
6,50,978.54,825.8,Choroid Plexus,1,Endothelial,6_50,5_4,44
4,22,979.93,787.12,Cortex,11,Excitatory neuron,4_22,5_4,44
5,3,874.55,685.41,SVZ,21,Excitatory neuron,5_3,5_4,44
2,12,874.24,769.85,Cortex,11,Excitatory neuron,2_12,5_4,44
3,32,985.08,766.92,Cortex,4,Excitatory neuron,3_32,5_4,44
5,148,987.56,686.98,SVZ,17,Excitatory neuron,5_148,5_4,44
3,35,859.35,781.87,Cortex,4,Excitatory neuron,3_35,5_4,44
3,25,966.9,695.14,Cortex,16,Oligodendrocytes,3_25,5_4,44
5,93,955.73,942.69,SVZ,15,Interneuron,5_93,5_5,45
0,12,950.97,863.93,Cortex,3,Excitatory neuron,0_12,5_5,45
